chr	start	end	intensity	experiment
chr10	58815000	59295000	22	plusE2
chr10	36545000	36795000	22	plusE2
chr10	30825000	31445000	22	plusE2
chr10	26075000	26345000	22	plusE2
chr10	25685000	26135000	22	plusE2
chr10	23605000	23785000	22	plusE2
chr10	21665000	21785000	22	plusE2
chr10	16955000	17725000	22	plusE2
chr10	10875000	11065000	22	plusE2
chr10	10075000	10175000	22	plusE2
chr10	8245000	8515000	22	plusE2
chr10	107935000	108435000	21	plusE2
chr10	106935000	107925000	21	plusE2
chr10	100745000	102415000	21	plusE2
chr10	94205000	94545000	21	plusE2
chr10	87965000	88085000	21	plusE2
chr10	83825000	84095000	21	plusE2
chr10	77515000	77975000	21	plusE2
chr10	73105000	74625000	21	plusE2
chr10	69375000	69525000	21	plusE2
chr10	67315000	67985000	21	plusE2
chr10	59495000	59865000	21	plusE2
chr10	59165000	59355000	21	plusE2
chr10	50755000	50865000	21	plusE2
chr10	45675000	45805000	21	plusE2
chr10	34705000	36505000	21	plusE2
chr10	25545000	26345000	21	plusE2
chr10	22155000	22815000	21	plusE2
chr10	19235000	19895000	21	plusE2
chr10	17255000	17605000	21	plusE2
chr10	3545000	3745000	21	plusE2
chr10	120255000	120435000	20	plusE2
chr10	120235000	121255000	20	plusE2
chr10	111235000	111935000	20	plusE2
chr10	111235000	111485000	20	plusE2
chr10	109915000	110745000	20	plusE2
chr10	102505000	102735000	20	plusE2
chr10	99695000	99845000	20	plusE2
chr10	99645000	100035000	20	plusE2
chr10	97715000	98915000	20	plusE2
chr10	93165000	93475000	20	plusE2
chr10	91295000	92165000	20	plusE2
chr10	89675000	89805000	20	plusE2
chr10	84835000	85045000	20	plusE2
chr10	81005000	81085000	20	plusE2
chr10	77625000	77985000	20	plusE2
chr10	77135000	77515000	20	plusE2
chr10	73105000	73825000	20	plusE2
chr10	67325000	67535000	20	plusE2
chr10	66855000	67215000	20	plusE2
chr10	43635000	43875000	20	plusE2
chr10	36805000	36965000	20	plusE2
chr10	23815000	24305000	20	plusE2
chr10	19375000	19505000	20	plusE2
chr10	17375000	17725000	20	plusE2
chr10	14905000	15035000	20	plusE2
chr10	13725000	13945000	20	plusE2
chr10	5485000	5795000	20	plusE2
chr10	115405000	115995000	19	plusE2
chr10	112525000	112795000	19	plusE2
chr10	111115000	111225000	19	plusE2
chr10	109005000	109665000	19	plusE2
chr10	107525000	107695000	19	plusE2
chr10	97165000	97315000	19	plusE2
chr10	95005000	95235000	19	plusE2
chr10	91545000	93015000	19	plusE2
chr10	91545000	92165000	19	plusE2
chr10	88985000	89275000	19	plusE2
chr10	86785000	86975000	19	plusE2
chr10	82055000	82165000	19	plusE2
chr10	81075000	81175000	19	plusE2
chr10	58555000	58815000	19	plusE2
chr10	57525000	58485000	19	plusE2
chr10	52705000	53025000	19	plusE2
chr10	38575000	38685000	19	plusE2
chr10	37145000	37395000	19	plusE2
chr10	37025000	37135000	19	plusE2
chr10	27135000	27765000	19	plusE2
chr10	26105000	26315000	19	plusE2
chr10	25545000	26145000	19	plusE2
chr10	25265000	26345000	19	plusE2
chr10	23135000	23345000	19	plusE2
chr10	21615000	21875000	19	plusE2
chr10	20725000	20925000	19	plusE2
chr10	18235000	18525000	19	plusE2
chr10	11365000	12615000	19	plusE2
chr10	4185000	4325000	19	plusE2
chr10	129025000	130295000	18	plusE2
chr10	123265000	125535000	18	plusE2
chr10	122105000	122795000	18	plusE2
chr10	109135000	109255000	18	plusE2
chr10	99685000	99905000	18	plusE2
chr10	97715000	99085000	18	plusE2
chr10	93055000	93575000	18	plusE2
chr10	87855000	88305000	18	plusE2
chr10	80755000	80995000	18	plusE2
chr10	76305000	76495000	18	plusE2
chr10	69445000	69845000	18	plusE2
chr10	68465000	69005000	18	plusE2
chr10	68285000	68465000	18	plusE2
chr10	67865000	68145000	18	plusE2
chr10	66855000	67305000	18	plusE2
chr10	64095000	64645000	18	plusE2
chr10	59375000	59625000	18	plusE2
chr10	59165000	59865000	18	plusE2
chr10	51045000	51265000	18	plusE2
chr10	26715000	26995000	18	plusE2
chr10	25545000	26075000	18	plusE2
chr10	25505000	26345000	18	plusE2
chr10	24175000	24625000	18	plusE2
chr10	17305000	17415000	18	plusE2
chr10	12325000	12445000	18	plusE2
chr10	7885000	8715000	18	plusE2
chr10	123265000	126905000	17	plusE2
chr10	123265000	126335000	17	plusE2
chr10	118255000	118375000	17	plusE2
chr10	116205000	116855000	17	plusE2
chr10	115595000	116005000	17	plusE2
chr10	113065000	113185000	17	plusE2
chr10	109915000	110455000	17	plusE2
chr10	108795000	109695000	17	plusE2
chr10	107795000	108285000	17	plusE2
chr10	93815000	94115000	17	plusE2
chr10	93425000	93815000	17	plusE2
chr10	90235000	90695000	17	plusE2
chr10	88825000	89635000	17	plusE2
chr10	85215000	85875000	17	plusE2
chr10	83245000	83525000	17	plusE2
chr10	82125000	82225000	17	plusE2
chr10	78435000	78575000	17	plusE2
chr10	77625000	78015000	17	plusE2
chr10	71425000	74205000	17	plusE2
chr10	68935000	69215000	17	plusE2
chr10	66575000	66815000	17	plusE2
chr10	56085000	56195000	17	plusE2
chr10	52695000	53315000	17	plusE2
chr10	52415000	53305000	17	plusE2
chr10	50905000	51405000	17	plusE2
chr10	39175000	39375000	17	plusE2
chr10	34425000	36505000	17	plusE2
chr10	25675000	26345000	17	plusE2
chr10	25495000	26135000	17	plusE2
chr10	23445000	23605000	17	plusE2
chr10	22135000	22475000	17	plusE2
chr10	22035000	22715000	17	plusE2
chr10	20995000	22005000	17	plusE2
chr10	20545000	20845000	17	plusE2
chr10	16795000	16925000	17	plusE2
chr10	14095000	14325000	17	plusE2
chr10	13085000	13535000	17	plusE2
chr10	10615000	11055000	17	plusE2
chr10	127185000	127335000	16	plusE2
chr10	126115000	126235000	16	plusE2
chr10	118375000	119085000	16	plusE2
chr10	116205000	117025000	16	plusE2
chr10	115625000	115905000	16	plusE2
chr10	110315000	110745000	16	plusE2
chr10	107795000	108435000	16	plusE2
chr10	106975000	107165000	16	plusE2
chr10	100745000	102305000	16	plusE2
chr10	98645000	98905000	16	plusE2
chr10	93285000	93575000	16	plusE2
chr10	91545000	91725000	16	plusE2
chr10	87325000	87485000	16	plusE2
chr10	87125000	87475000	16	plusE2
chr10	82765000	83295000	16	plusE2
chr10	82365000	82595000	16	plusE2
chr10	80445000	80685000	16	plusE2
chr10	75885000	76205000	16	plusE2
chr10	73105000	74845000	16	plusE2
chr10	71475000	72655000	16	plusE2
chr10	68405000	68775000	16	plusE2
chr10	63025000	63255000	16	plusE2
chr10	53865000	55765000	16	plusE2
chr10	52795000	52995000	16	plusE2
chr10	45685000	45915000	16	plusE2
chr10	43185000	43545000	16	plusE2
chr10	41305000	42295000	16	plusE2
chr10	41305000	41685000	16	plusE2
chr10	40055000	40525000	16	plusE2
chr10	34615000	36805000	16	plusE2
chr10	16995000	17725000	16	plusE2
chr10	16955000	17255000	16	plusE2
chr10	13565000	14085000	16	plusE2
chr10	9815000	11155000	16	plusE2
chr10	125725000	126335000	15	plusE2
chr10	123905000	124045000	15	plusE2
chr10	123255000	126805000	15	plusE2
chr10	118725000	118975000	15	plusE2
chr10	116945000	117205000	15	plusE2
chr10	109515000	109865000	15	plusE2
chr10	101685000	102415000	15	plusE2
chr10	96405000	96585000	15	plusE2
chr10	93185000	93545000	15	plusE2
chr10	87955000	88295000	15	plusE2
chr10	87745000	88065000	15	plusE2
chr10	84645000	85135000	15	plusE2
chr10	82265000	82455000	15	plusE2
chr10	74215000	74625000	15	plusE2
chr10	72655000	73095000	15	plusE2
chr10	69865000	70295000	15	plusE2
chr10	68465000	68895000	15	plusE2
chr10	58975000	59135000	15	plusE2
chr10	53095000	53335000	15	plusE2
chr10	52845000	53295000	15	plusE2
chr10	52755000	53295000	15	plusE2
chr10	41505000	42295000	15	plusE2
chr10	36515000	36975000	15	plusE2
chr10	35165000	35335000	15	plusE2
chr10	30615000	31315000	15	plusE2
chr10	25265000	26075000	15	plusE2
chr10	22035000	22775000	15	plusE2
chr10	17735000	18105000	15	plusE2
chr10	11455000	11995000	15	plusE2
chr10	8445000	8645000	15	plusE2
chr10	7805000	8715000	15	plusE2
chr10	5195000	5785000	15	plusE2
chr10	125785000	126325000	14	plusE2
chr10	122555000	122865000	14	plusE2
chr10	121695000	122525000	14	plusE2
chr10	116225000	116475000	14	plusE2
chr10	105895000	106425000	14	plusE2
chr10	104485000	104785000	14	plusE2
chr10	100745000	101605000	14	plusE2
chr10	100025000	100455000	14	plusE2
chr10	97715000	98425000	14	plusE2
chr10	97055000	97295000	14	plusE2
chr10	96945000	97315000	14	plusE2
chr10	96135000	96935000	14	plusE2
chr10	91295000	92305000	14	plusE2
chr10	87575000	88195000	14	plusE2
chr10	81525000	82175000	14	plusE2
chr10	80995000	81175000	14	plusE2
chr10	73755000	73915000	14	plusE2
chr10	73565000	74205000	14	plusE2
chr10	71525000	71755000	14	plusE2
chr10	71505000	71615000	14	plusE2
chr10	68695000	68895000	14	plusE2
chr10	67315000	68145000	14	plusE2
chr10	60395000	61065000	14	plusE2
chr10	60315000	61065000	14	plusE2
chr10	55985000	56335000	14	plusE2
chr10	45675000	46005000	14	plusE2
chr10	45385000	45915000	14	plusE2
chr10	37135000	37785000	14	plusE2
chr10	36015000	36195000	14	plusE2
chr10	32335000	32895000	14	plusE2
chr10	29565000	30325000	14	plusE2
chr10	119655000	120035000	13	plusE2
chr10	119655000	119965000	13	plusE2
chr10	116535000	117035000	13	plusE2
chr10	111505000	112155000	13	plusE2
chr10	106615000	107385000	13	plusE2
chr10	102455000	103405000	13	plusE2
chr10	96045000	97335000	13	plusE2
chr10	91595000	91875000	13	plusE2
chr10	90095000	90465000	13	plusE2
chr10	81645000	82635000	13	plusE2
chr10	73585000	73785000	13	plusE2
chr10	73565000	74455000	13	plusE2
chr10	72025000	72385000	13	plusE2
chr10	71915000	72175000	13	plusE2
chr10	54065000	55765000	13	plusE2
chr10	45105000	45485000	13	plusE2
chr10	41005000	41415000	13	plusE2
chr10	38555000	39035000	13	plusE2
chr10	37135000	37585000	13	plusE2
chr10	33025000	33195000	13	plusE2
chr10	22825000	23345000	13	plusE2
chr10	20155000	20935000	13	plusE2
chr10	18755000	18895000	13	plusE2
chr10	17735000	18395000	13	plusE2
chr10	13695000	14325000	13	plusE2
chr10	11445000	12985000	13	plusE2
chr10	123275000	123415000	12	plusE2
chr10	115325000	116195000	12	plusE2
chr10	113865000	114105000	12	plusE2
chr10	110355000	110565000	12	plusE2
chr10	109025000	109875000	12	plusE2
chr10	106275000	106565000	12	plusE2
chr10	101765000	102415000	12	plusE2
chr10	100625000	101685000	12	plusE2
chr10	94635000	95475000	12	plusE2
chr10	90155000	91055000	12	plusE2
chr10	74205000	74845000	12	plusE2
chr10	72805000	73095000	12	plusE2
chr10	71865000	72655000	12	plusE2
chr10	69455000	69965000	12	plusE2
chr10	62785000	63325000	12	plusE2
chr10	59895000	60235000	12	plusE2
chr10	38585000	38805000	12	plusE2
chr10	19715000	20125000	12	plusE2
chr10	19495000	19865000	12	plusE2
chr10	15305000	16955000	12	plusE2
chr10	13015000	13195000	12	plusE2
chr10	118445000	118715000	11	plusE2
chr10	104455000	104925000	11	plusE2
chr10	100495000	102445000	11	plusE2
chr10	88825000	89455000	11	plusE2
chr10	79995000	80245000	11	plusE2
chr10	62455000	62775000	11	plusE2
chr10	52685000	53535000	11	plusE2
chr10	25375000	26335000	11	plusE2
chr10	19525000	19885000	11	plusE2
chr10	16415000	16625000	11	plusE2
chr10	5845000	7335000	11	plusE2
chr10	3535000	4335000	11	plusE2
chr10	123445000	124395000	10	plusE2
chr10	91185000	93025000	10	plusE2
chr10	88975000	89385000	10	plusE2
chr10	79115000	79325000	10	plusE2
chr10	53095000	53545000	10	plusE2
chr10	41005000	41505000	10	plusE2
chr10	29385000	29745000	10	plusE2
chr10	19415000	19895000	10	plusE2
chr10	18055000	18305000	10	plusE2
chr10	71425000	74925000	9	plusE2
chr10	50705000	51555000	9	plusE2
chr10	21175000	22005000	9	plusE2
chr10	105865000	106485000	25	plusE2
chr10	123265000	126535000	25	plusE2
chr10	110795000	111105000	25	plusE2
chr10	13195000	13325000	26	plusE2
chr10	3745000	3945000	26	plusE2
chr10	41435000	41685000	26	plusE2
chr10	24635000	24835000	26	plusE2
chr10	83595000	83725000	26	plusE2
chr10	70855000	70945000	26	plusE2
chr10	91545000	92655000	26	plusE2
chr10	91295000	93015000	26	plusE2
chr10	111975000	112805000	26	plusE2
chr10	100585000	102445000	26	plusE2
chr10	10405000	10555000	27	plusE2
chr10	117225000	117335000	26	plusE2
chr10	31495000	31605000	27	plusE2
chr10	22845000	23015000	27	plusE2
chr10	43225000	43455000	27	plusE2
chr10	36515000	36795000	27	plusE2
chr10	43585000	43765000	27	plusE2
chr10	43585000	43725000	27	plusE2
chr10	100015000	100155000	27	plusE2
chr10	93045000	93475000	27	plusE2
chr10	120435000	120865000	27	plusE2
chr10	118725000	118865000	27	plusE2
chr10	13965000	14325000	28	plusE2
chr10	121095000	121245000	27	plusE2
chr10	34095000	34325000	28	plusE2
chr10	30625000	30715000	28	plusE2
chr10	42335000	42505000	28	plusE2
chr10	41435000	41505000	28	plusE2
chr10	63585000	64085000	28	plusE2
chr10	61875000	62175000	28	plusE2
chr10	81655000	82175000	28	plusE2
chr10	70825000	70965000	28	plusE2
chr10	91275000	93005000	28	plusE2
chr10	82665000	82745000	28	plusE2
chr10	13975000	14095000	29	plusE2
chr10	120255000	120695000	28	plusE2
chr10	44455000	45005000	29	plusE2
chr10	19255000	19335000	29	plusE2
chr10	62985000	63065000	29	plusE2
chr10	49705000	49775000	29	plusE2
chr10	84785000	84885000	29	plusE2
chr10	68905000	69155000	29	plusE2
chr10	91295000	92655000	29	plusE2
chr10	89125000	89255000	29	plusE2
chr10	118675000	118865000	29	plusE2
chr10	117845000	118145000	29	plusE2
chr10	34205000	34285000	30	plusE2
chr10	127345000	127445000	29	plusE2
chr10	67865000	67985000	30	plusE2
chr10	53345000	53595000	30	plusE2
chr10	106625000	106735000	30	plusE2
chr10	100625000	102445000	31	plusE2
chr10	120725000	120855000	30	plusE2
chr10	25025000	25215000	32	plusE2
chr10	115405000	116195000	31	plusE2
chr10	70205000	70285000	32	plusE2
chr10	45065000	45375000	32	plusE2
chr10	13565000	14325000	34	plusE2
chr10	11455000	12615000	34	plusE2
chr10	25675000	26075000	34	plusE2
chr10	41005000	41295000	42	plusE2
chr10	4085000	4335000	42	plusE2
chr10	70565000	70965000	41	plusE2
chr10	70355000	70425000	41	plusE2
chr10	63045000	63115000	41	plusE2
chr10	25045000	25095000	41	plusE2
chr10	93485000	93545000	40	plusE2
chr10	70595000	70965000	40	plusE2
chr10	42305000	42635000	40	plusE2
chr10	40055000	40135000	40	plusE2
chr10	30715000	30805000	40	plusE2
chr10	93295000	93425000	39	plusE2
chr10	3995000	4375000	39	plusE2
chr10	103305000	103355000	38	plusE2
chr10	77415000	77495000	38	plusE2
chr10	68905000	68975000	38	plusE2
chr10	98925000	98985000	37	plusE2
chr10	23985000	24105000	37	plusE2
chr10	119825000	119935000	36	plusE2
chr10	73105000	74205000	36	plusE2
chr10	70315000	70965000	36	plusE2
chr10	19245000	19515000	36	plusE2
chr10	10405000	11175000	36	plusE2
chr10	100745000	102155000	35	plusE2
chr10	96615000	97315000	35	plusE2
chr10	87025000	88325000	35	plusE2
chr10	44295000	45005000	35	plusE2
chr10	128375000	128455000	34	plusE2
chr10	107935000	108165000	34	plusE2
chr10	94415000	94515000	34	plusE2
chr10	89495000	89605000	34	plusE2
chr10	44335000	45045000	42	plusE2
chr10	96215000	96615000	42	plusE2
chr10	69575000	69645000	42	plusE2
chr10	99165000	99265000	42	plusE2
chr10	97345000	97685000	42	plusE2
chr10	96215000	97315000	44	plusE2
chr10	122805000	122885000	42	plusE2
chr10	77525000	77575000	45	plusE2
chr10	85225000	85625000	46	plusE2
chr10	76885000	76935000	46	plusE2
chr10	90735000	90785000	47	plusE2
chr10	60035000	60095000	47	plusE2
chr10	95555000	95855000	49	plusE2
chr10	44325000	45005000	48	plusE2
chr10	44295000	45045000	62	plusE2
chr10	120245000	120875000	58	plusE2
chr10	23085000	23775000	57	plusE2
chr10	30625000	30805000	53	plusE2
chr10	5635000	5795000	53	plusE2
chr10	121815000	122045000	52	plusE2
chr10	96135000	97335000	50	plusE2
chr10	62625000	62775000	50	plusE2
chr10	23115000	23775000	63	plusE2
chr10	122715000	122765000	66	plusE2
chr10	105865000	106585000	66	plusE2
chr10	75585000	75705000	80	plusE2
chr10	129025000	130095000	84	plusE2
chr10	87025000	87505000	84	plusE2
chr10	110985000	111105000	80	plusE2
chr10	32057500	32097500	16	plusE2
chr10	61837500	62182500	20	plusE2
chr10	80807500	80877500	25	plusE2
chr10	122107500	122527500	29	plusE2
chr10	77287500	77337500	33	plusE2
chr10	103252500	103402500	35	plusE2
chr10	62652500	62722500	20	plusE2
chr10	61802500	61837500	20	plusE2
chr10	60147500	60237500	20	plusE2
chr10	43957500	44067500	20	plusE2
chr10	42587500	42632500	20	plusE2
chr10	41017500	41262500	20	plusE2
chr10	39237500	39522500	20	plusE2
chr10	38877500	39037500	20	plusE2
chr10	26372500	26887500	20	plusE2
chr10	20407500	20927500	20	plusE2
chr10	17732500	18197500	20	plusE2
chr10	5482500	5557500	20	plusE2
chr10	7912500	7947500	20	plusE2
chr10	122897500	122962500	19	plusE2
chr10	122827500	122877500	19	plusE2
chr10	117362500	117677500	19	plusE2
chr10	116332500	116472500	19	plusE2
chr10	110797500	110937500	19	plusE2
chr10	99642500	100152500	19	plusE2
chr10	95417500	95477500	19	plusE2
chr10	89567500	89602500	19	plusE2
chr10	77082500	77127500	19	plusE2
chr10	75782500	75832500	19	plusE2
chr10	75747500	75952500	19	plusE2
chr10	67317500	67727500	19	plusE2
chr10	75437500	75482500	19	plusE2
chr10	67162500	67197500	19	plusE2
chr10	63337500	63382500	19	plusE2
chr10	62277500	62342500	19	plusE2
chr10	61842500	62102500	19	plusE2
chr10	60782500	60827500	19	plusE2
chr10	39372500	39422500	19	plusE2
chr10	34037500	34322500	19	plusE2
chr10	23982500	24132500	19	plusE2
chr10	20152500	20312500	19	plusE2
chr10	19712500	19907500	19	plusE2
chr10	121917500	122042500	18	plusE2
chr10	121417500	121502500	18	plusE2
chr10	121057500	121092500	18	plusE2
chr10	110792500	110972500	18	plusE2
chr10	93427500	93577500	18	plusE2
chr10	93292500	93472500	18	plusE2
chr10	93162500	93292500	18	plusE2
chr10	91077500	91142500	18	plusE2
chr10	89327500	89462500	18	plusE2
chr10	87552500	88327500	18	plusE2
chr10	85677500	85872500	18	plusE2
chr10	82927500	82982500	18	plusE2
chr10	82912500	83182500	18	plusE2
chr10	82762500	82862500	18	plusE2
chr10	78632500	79117500	18	plusE2
chr10	76532500	76732500	18	plusE2
chr10	61277500	61332500	18	plusE2
chr10	59707500	59812500	18	plusE2
chr10	59167500	59287500	18	plusE2
chr10	43952500	44177500	18	plusE2
chr10	40302500	40347500	18	plusE2
chr10	34282500	34317500	18	plusE2
chr10	29532500	30417500	18	plusE2
chr10	13977500	14012500	18	plusE2
chr10	11167500	11207500	18	plusE2
chr10	116982500	117027500	17	plusE2
chr10	116332500	116847500	17	plusE2
chr10	111387500	111487500	17	plusE2
chr10	106612500	106912500	17	plusE2
chr10	85217500	85387500	17	plusE2
chr10	70597500	70807500	17	plusE2
chr10	69872500	69962500	17	plusE2
chr10	68062500	68127500	17	plusE2
chr10	62277500	62407500	17	plusE2
chr10	61982500	62102500	17	plusE2
chr10	61342500	61397500	17	plusE2
chr10	60007500	60107500	17	plusE2
chr10	52227500	52332500	17	plusE2
chr10	41832500	42292500	17	plusE2
chr10	40652500	40887500	17	plusE2
chr10	37072500	37132500	17	plusE2
chr10	39177500	39232500	17	plusE2
chr10	34612500	34647500	17	plusE2
chr10	34022500	34277500	17	plusE2
chr10	26777500	26872500	17	plusE2
chr10	24907500	24942500	17	plusE2
chr10	22777500	23082500	17	plusE2
chr10	22032500	22477500	17	plusE2
chr10	21587500	21992500	17	plusE2
chr10	21382500	21462500	17	plusE2
chr10	14337500	14382500	17	plusE2
chr10	13327500	13372500	17	plusE2
chr10	127677500	127937500	16	plusE2
chr10	127177500	127222500	16	plusE2
chr10	119467500	119637500	16	plusE2
chr10	117157500	117192500	16	plusE2
chr10	116087500	116197500	16	plusE2
chr10	112202500	112802500	16	plusE2
chr10	111437500	111472500	16	plusE2
chr10	108357500	108427500	16	plusE2
chr10	107272500	107392500	16	plusE2
chr10	97377500	97687500	16	plusE2
chr10	95087500	95417500	16	plusE2
chr10	93487500	93577500	16	plusE2
chr10	93092500	93157500	16	plusE2
chr10	85677500	85927500	16	plusE2
chr10	84712500	85047500	16	plusE2
chr10	80612500	80687500	16	plusE2
chr10	79987500	80162500	16	plusE2
chr10	77517500	77627500	16	plusE2
chr10	77132500	77352500	16	plusE2
chr10	75977500	76202500	16	plusE2
chr10	69667500	69732500	16	plusE2
chr10	69537500	69637500	16	plusE2
chr10	68907500	69002500	16	plusE2
chr10	69377500	69447500	16	plusE2
chr10	67417500	67462500	16	plusE2
chr10	62432500	62472500	16	plusE2
chr10	60312500	60757500	16	plusE2
chr10	53402500	53507500	16	plusE2
chr10	52417500	52687500	16	plusE2
chr10	52222500	52382500	16	plusE2
chr10	41837500	41887500	16	plusE2
chr10	41542500	41582500	16	plusE2
chr10	41307500	41402500	16	plusE2
chr10	39532500	39737500	16	plusE2
chr10	40947500	40987500	16	plusE2
chr10	40132500	40207500	16	plusE2
chr10	24757500	24817500	16	plusE2
chr10	22582500	22777500	16	plusE2
chr10	21087500	21142500	16	plusE2
chr10	19912500	20077500	16	plusE2
chr10	128847500	128977500	15	plusE2
chr10	18062500	18107500	16	plusE2
chr10	129847500	129882500	15	plusE2
chr10	126992500	127052500	15	plusE2
chr10	123042500	123102500	15	plusE2
chr10	114802500	115097500	15	plusE2
chr10	109922500	110087500	15	plusE2
chr10	107867500	107917500	15	plusE2
chr10	108897500	108942500	15	plusE2
chr10	106622500	106682500	15	plusE2
chr10	105052500	105087500	15	plusE2
chr10	102452500	103197500	15	plusE2
chr10	94987500	95477500	15	plusE2
chr10	92307500	92652500	15	plusE2
chr10	86067500	86287500	15	plusE2
chr10	87432500	87472500	15	plusE2
chr10	76962500	77022500	15	plusE2
chr10	76837500	77072500	15	plusE2
chr10	75277500	75487500	15	plusE2
chr10	74922500	75152500	15	plusE2
chr10	58272500	58467500	15	plusE2
chr10	51552500	51777500	15	plusE2
chr10	41982500	42297500	15	plusE2
chr10	29152500	29222500	15	plusE2
chr10	26922500	26992500	15	plusE2
chr10	26752500	26887500	15	plusE2
chr10	23817500	23977500	15	plusE2
chr10	22582500	22717500	15	plusE2
chr10	5202500	5552500	15	plusE2
chr10	4272500	4322500	15	plusE2
chr10	3572500	3947500	15	plusE2
chr10	3332500	3942500	15	plusE2
chr10	128212500	128287500	14	plusE2
chr10	126812500	126862500	14	plusE2
chr10	122692500	122772500	14	plusE2
chr10	121637500	122052500	14	plusE2
chr10	115422500	115617500	14	plusE2
chr10	117502500	117592500	14	plusE2
chr10	117987500	118037500	14	plusE2
chr10	117757500	117817500	14	plusE2
chr10	115317500	115387500	14	plusE2
chr10	112467500	112542500	14	plusE2
chr10	112202500	112747500	14	plusE2
chr10	102497500	102812500	14	plusE2
chr10	104737500	104772500	14	plusE2
chr10	100642500	100692500	14	plusE2
chr10	99307500	99357500	14	plusE2
chr10	95682500	95727500	14	plusE2
chr10	94227500	94317500	14	plusE2
chr10	93427500	93472500	14	plusE2
chr10	87982500	88032500	14	plusE2
chr10	87597500	88327500	14	plusE2
chr10	83647500	83722500	14	plusE2
chr10	87117500	87167500	14	plusE2
chr10	83407500	83482500	14	plusE2
chr10	83397500	83507500	14	plusE2
chr10	82992500	83182500	14	plusE2
chr10	82987500	83097500	14	plusE2
chr10	76622500	76732500	14	plusE2
chr10	76457500	76732500	14	plusE2
chr10	75192500	75487500	14	plusE2
chr10	75182500	75252500	14	plusE2
chr10	70322500	70437500	14	plusE2
chr10	70017500	70297500	14	plusE2
chr10	66912500	67097500	14	plusE2
chr10	61882500	62102500	14	plusE2
chr10	50702500	51287500	14	plusE2
chr10	50702500	50897500	14	plusE2
chr10	43952500	44237500	14	plusE2
chr10	40717500	40797500	14	plusE2
chr10	39447500	39507500	14	plusE2
chr10	29532500	30587500	14	plusE2
chr10	25377500	25432500	14	plusE2
chr10	24962500	25012500	14	plusE2
chr10	20562500	20612500	14	plusE2
chr10	18392500	18602500	14	plusE2
chr10	128547500	128672500	13	plusE2
chr10	127737500	128007500	13	plusE2
chr10	122682500	122792500	13	plusE2
chr10	119797500	120122500	13	plusE2
chr10	119242500	119642500	13	plusE2
chr10	117847500	117937500	13	plusE2
chr10	116207500	116322500	13	plusE2
chr10	114302500	114347500	13	plusE2
chr10	111252500	111292500	13	plusE2
chr10	110092500	110132500	13	plusE2
chr10	106932500	107272500	13	plusE2
chr10	102157500	102417500	13	plusE2
chr10	99637500	100472500	13	plusE2
chr10	95682500	95847500	13	plusE2
chr10	95257500	95417500	13	plusE2
chr10	95102500	95477500	13	plusE2
chr10	94692500	94737500	13	plusE2
chr10	94632500	94952500	13	plusE2
chr10	90157500	90692500	13	plusE2
chr10	89887500	89922500	13	plusE2
chr10	88377500	88727500	13	plusE2
chr10	88377500	88672500	13	plusE2
chr10	87677500	88117500	13	plusE2
chr10	87652500	88302500	13	plusE2
chr10	86492500	86687500	13	plusE2
